stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
w,nogo,12,999,1,actual,low,m,gonogo,29,,27,27,8.496562957763672,8.979963064193726,5.63635206223,1,,,,1.0,19.0,,1,1.0
m,go,11,999,2,actual,low,m,gonogo,29,,27,27,9.964731931686401,10.44817304611206,,1,,,,1.0,18.0,,2,0.0
m,go,11,999,3,actual,low,m,gonogo,29,,27,27,11.432811975479126,11.916223049163818,,1,,,,1.0,18.0,,3,0.0
m,go,11,999,4,actual,low,m,gonogo,29,,27,27,12.90018606185913,13.383543014526367,,1,,,,1.0,18.0,,4,0.0
m,go,11,999,5,actual,low,m,gonogo,29,,27,27,14.367414951324463,14.850820064544678,,1,,,,1.0,18.0,,5,0.0
m,go,11,999,6,actual,low,m,gonogo,29,,27,27,15.835465908050537,16.318821907043457,,1,,,,1.0,18.0,,6,0.0
m,go,11,999,7,actual,low,m,gonogo,29,,27,27,17.30345606803894,17.78686285018921,,1,,,,1.0,18.0,,7,0.0
m,go,11,999,8,actual,low,m,gonogo,29,,27,27,18.770697832107544,19.25412893295288,,1,,,,1.0,18.0,,8,0.0
w,nogo,12,999,9,actual,low,m,gonogo,29,,27,27,20.23879098892212,20.72219705581665,,1,,,,1.0,19.0,,9,1.0
m,go,11,999,10,actual,low,m,gonogo,29,,27,27,21.706907987594604,22.19029998779297,,1,,,,1.0,18.0,,10,0.0
m,go,11,999,11,actual,low,m,gonogo,29,,27,27,23.17503786087036,23.658432006835938,,1,,,,1.0,18.0,,11,0.0
m,go,11,999,12,actual,low,m,gonogo,29,,27,27,24.643077850341797,25.126430988311768,,1,,,,1.0,18.0,,12,0.0
w,nogo,12,999,1,actual,high,m,gonogo,29,,27,27,26.121290922164917,26.60470700263977,,2,,,,1.0,19.0,,13,1.0
m,go,11,999,2,actual,high,m,gonogo,29,,27,27,27.588835954666138,28.072223901748657,,2,,,,1.0,18.0,,14,0.0
w,nogo,12,999,3,actual,high,m,gonogo,29,,27,27,29.056019067764282,29.540339946746826,,2,,,,1.0,19.0,,15,1.0
w,nogo,12,999,4,actual,high,m,gonogo,29,,27,27,30.5246479511261,31.008013010025024,,2,,,,1.0,19.0,,16,1.0
m,go,11,999,5,actual,high,m,gonogo,29,,27,27,31.992650985717773,32.47604298591614,,2,,,,1.0,18.0,,17,0.0
m,go,11,999,6,actual,high,m,gonogo,29,,27,27,33.460657835006714,33.94403600692749,,2,,,,1.0,18.0,,18,0.0
m,go,11,999,7,actual,high,m,gonogo,29,,27,27,34.927675008773804,35.41104984283447,,2,,,,1.0,18.0,,19,0.0
m,go,11,999,8,actual,high,m,gonogo,29,,27,27,36.39496994018555,36.878376960754395,,2,,7,0.274210214615,1.0,,,20,
m,go,11,999,1,actual,low,m,gonogo,29,,27,27,36.96266198158264,37.44610404968262,,3,,,0.409265041351,1.0,,,21,
