stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
w,go,11,142,1,actual,low,w,gonogo,58,,54,54,60.71107145435599,61.211090398122906,54.7085562853,1,,,,1.0,18.0,,1,0.0
w,go,11,142,2,actual,low,w,gonogo,58,,54,54,62.21092963209594,62.71093807999205,,1,,1,0.32558089526,1.0,15.0,,2,1.0
w,go,11,142,3,actual,low,w,gonogo,58,,54,54,63.71003543508414,64.21004797892965,,1,,1,0.283902815405,1.0,15.0,,3,1.0
w,go,11,142,4,actual,low,w,gonogo,58,,54,54,65.20905983107514,65.70907109493419,,1,,1,0.325604190974,1.0,15.0,,4,1.0
m,nogo,12,142,5,actual,low,w,gonogo,58,,54,54,66.70807808313839,67.20808704302908,,1,,,,1.0,19.0,,5,1.0
w,go,11,142,6,actual,low,w,gonogo,58,,54,54,68.20715905442921,68.70716929430637,,1,,1,0.300616594021,1.0,15.0,,6,1.0
w,go,11,142,7,actual,low,w,gonogo,58,,54,54,69.70622748187816,70.2062413057065,,1,,1,0.308842796941,1.0,15.0,,7,1.0
w,go,11,142,8,actual,low,w,gonogo,58,,54,54,71.20531715706238,71.70532842092507,,1,,1,0.358956485143,1.0,15.0,,8,1.0
m,nogo,12,142,9,actual,low,w,gonogo,58,,54,54,72.70435000094949,73.20435793685101,,1,,,,1.0,19.0,,9,1.0
m,nogo,12,142,10,actual,low,w,gonogo,58,,54,54,74.2034616918645,74.70347321172085,,1,,,,1.0,19.0,,10,1.0
w,go,11,142,11,actual,low,w,gonogo,58,,54,54,75.70244410436862,76.20245536822767,,1,,1,0.300573842549,1.0,15.0,,11,1.0
w,go,11,142,12,actual,low,w,gonogo,58,,54,54,77.20159624278676,77.70160443468558,,1,,1,0.308976427295,1.0,15.0,,12,1.0
w,go,11,142,1,actual,high,w,gonogo,58,,54,54,78.71252628447837,79.2125362683546,,2,,1,0.308928299888,1.0,15.0,,13,1.0
m,nogo,12,142,2,actual,high,w,gonogo,58,,54,54,80.21169890264355,80.71171016650624,,2,,,,1.0,19.0,,14,1.0
m,nogo,12,142,3,actual,high,w,gonogo,58,,54,54,81.71069769894893,82.21070589084775,,2,,,,1.0,19.0,,15,1.0
m,nogo,12,142,4,actual,high,w,gonogo,58,,54,54,83.20976382242225,83.70977534228223,,2,,,,1.0,19.0,,16,1.0
w,go,11,142,5,actual,high,w,gonogo,58,,54,54,84.70892620071754,85.20893362462448,,2,,1,0.358876102127,1.0,15.0,,17,1.0
m,nogo,12,142,6,actual,high,w,gonogo,58,,54,54,86.20794496477174,86.70795341266785,,2,,,,1.0,19.0,,18,1.0
m,nogo,12,142,7,actual,high,w,gonogo,58,,54,54,87.70697089674286,88.20698113661638,,2,,,,1.0,19.0,,19,1.0
m,nogo,12,142,8,actual,high,w,gonogo,58,,54,54,89.20605519599485,89.70606466788013,,2,,,,1.0,19.0,,20,1.0
w,go,11,142,9,actual,high,w,gonogo,58,,54,54,90.70511671152781,91.20512695140133,,2,,1,0.333881849259,1.0,15.0,,21,1.0
w,go,11,142,10,actual,high,w,gonogo,58,,54,54,92.20417361911677,92.70418667495687,,2,,1,0.308935723799,1.0,15.0,,22,1.0
w,go,11,142,11,actual,high,w,gonogo,58,,54,54,93.70323641463256,94.20324870248078,,2,,1,0.40059027755,1.0,15.0,,23,1.0
w,go,11,142,12,actual,high,w,gonogo,58,,54,54,95.20234400959816,95.70235706543826,,2,,1,0.308920875977,1.0,15.0,,24,1.0
m,nogo,12,142,1,actual,low,w,gonogo,58,,54,54,96.74717417872307,97.24718646657493,,3,,,,1.0,19.0,,25,1.0
m,nogo,12,142,2,actual,low,w,gonogo,58,,54,54,98.24649553106428,98.7465078189125,,3,,,,1.0,19.0,,26,1.0
m,nogo,12,142,3,actual,low,w,gonogo,58,,54,54,99.74655645831444,100.24657975402806,,3,,,,1.0,19.0,,27,1.0
w,go,11,142,4,actual,low,w,gonogo,58,,54,54,101.2466524571355,101.74666167302348,,3,,1,0.350603307787,1.0,15.0,,28,1.0
w,go,11,142,5,actual,low,w,gonogo,58,,54,54,102.7466632090036,103.246674216869,,3,,1,0.333900025034,1.0,15.0,,29,1.0
w,go,11,142,6,actual,low,w,gonogo,58,,54,54,104.24673591211103,104.74674436000714,,3,,1,0.358894021912,1.0,15.0,,30,1.0
w,go,11,142,7,actual,low,w,gonogo,58,,54,54,105.74678608749309,106.24679760735307,,3,,1,0.292285432399,1.0,15.0,,31,1.0
w,go,11,142,8,actual,low,w,gonogo,58,,54,54,107.24586705878755,107.74588037062131,,3,,1,0.283977054492,1.0,15.0,,32,1.0
w,go,11,142,9,actual,low,w,gonogo,58,,54,54,108.74591825815878,109.245928242035,,3,,1,0.258937746174,1.0,15.0,,33,1.0
w,go,11,142,10,actual,low,w,gonogo,58,,54,54,110.24503148505391,110.74504121293285,,3,,1,0.308924715933,1.0,15.0,,34,1.0
w,go,11,142,11,actual,low,w,gonogo,58,,54,54,111.74508473239985,112.24509497227336,,3,,1,0.375593208712,1.0,15.0,,35,1.0
w,go,11,142,12,actual,low,w,gonogo,58,,54,54,113.24512517990297,113.7451369557566,,3,,1,0.383922066369,1.0,15.0,,36,1.0
w,go,11,142,1,actual,high,w,gonogo,58,,54,54,114.75448724086164,115.25449620075233,,4,,1,0.417212409295,1.0,15.0,,37,1.0
m,nogo,12,142,2,actual,high,w,gonogo,58,,54,54,116.25328277566223,116.75329352753033,,4,,,,1.0,19.0,,38,1.0
