stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
m,go,11,143,1,actual,low,m,gonogo,58,,54,54,40.84919122913925,41.34920351698747,34.8436803849,1,,1,0.275597509459,1.0,15.0,,1,1.0
m,go,11,143,2,actual,low,m,gonogo,58,,54,54,42.34905862276719,42.84906604667776,,1,,1,0.283894111508,1.0,15.0,,2,1.0
m,go,11,143,3,actual,low,m,gonogo,58,,54,54,43.84813165815649,44.34814292201918,,1,,1,0.342249362438,1.0,15.0,,3,1.0
w,nogo,12,143,4,actual,low,m,gonogo,58,,54,54,45.34718907774004,45.847199061616266,,1,,,,1.0,19.0,,4,1.0
m,go,11,143,5,actual,low,m,gonogo,58,,54,54,46.84625852917452,47.34626723306792,,1,,1,0.275613893256,1.0,15.0,,5,1.0
m,go,11,143,6,actual,low,m,gonogo,58,,54,54,48.34534820436238,48.84535921222778,,1,,1,0.417272568557,1.0,15.0,,6,1.0
m,go,11,143,7,actual,low,m,gonogo,58,,54,54,49.84440203998747,50.344412791855575,,1,,1,0.358913733668,1.0,15.0,,7,1.0
m,go,11,143,8,actual,low,m,gonogo,58,,54,54,51.3434384678294,51.843449219697504,,1,,1,0.325625694713,1.0,15.0,,8,1.0
m,go,11,143,9,actual,low,m,gonogo,58,,54,54,52.842523023078684,53.34253147097479,,1,,1,0.34225422638,1.0,15.0,,9,1.0
m,go,11,143,10,actual,low,m,gonogo,58,,54,54,54.34159887443457,54.841609114308085,,1,,1,0.292246264878,1.0,15.0,,10,1.0
w,nogo,12,143,11,actual,low,m,gonogo,58,,54,54,55.84066755787717,56.34067626177057,,1,,,,1.0,19.0,,11,1.0
m,go,11,143,12,actual,low,m,gonogo,58,,54,54,57.339729585401074,57.83974238524388,,1,,1,0.233952197199,1.0,15.0,,12,1.0
