Subject	Natural-Taste	Natural-Health	Decrease-Taste	Decrease-Health	Health-Taste	Health-Health	
101	-1.5452	2.3356	2.3179	-0.3286	6.6953	1.2654	
102	-0.5774	3.4170	0.2873	0.6051	3.1192	2.8336	
103	1.3559	-3.6181	5.0571	-5.2519	2.1495	2.6094	
104	2.5316	4.3190	-1.2182	0.5249	-0.0384	-2.6591	
106	1.4075	0.9608	1.8494	-2.2892	2.2273	-0.7348	
107	0.2970	-1.1732	-0.5508	-0.9365	-0.9443	-0.2551	
108	0.6765	0.8656	0.6217	0.2595	-1.2919	-1.2911	
109	0.1699	1.2528	-0.1185	2.0372	-1.5061	-0.3649	
110	-0.5615	1.3043	0.3527	-0.2503	2.0300	0.1437	
111	-0.3754	-0.4192	1.2838	0.3579	0.3745	0.4952	
112	2.2306	3.8430	0.8926	2.1228	1.7061	1.7604	
114	1.4624	4.0855	-0.1161	1.7985	1.4026	-0.5710	
116	1.5966	1.7834	0.3860	1.0914	1.6960	-0.3258	
118	-1.0663	0.3484	3.7614	1.0151	-2.2135	3.3419	
119	3.2131	0.6106	0.1998	-0.9974	2.3975	2.5836	
120	2.9784	-5.0385	-1.5644	0.5028	-0.1696	0.8966	
121	-1.1105	-1.5352	-1.4081	-0.1169	2.0311	1.4292	
123	-0.3152	-1.6117	1.1541	-0.6319	0.0457	2.5184	
124	-0.4916	-0.6066	-1.8489	0.5049	-2.5794	1.4598	
125	-0.5385	-1.3141	0.8228	-0.2842	-2.0776	1.2440	
126	1.6802	-0.3597	-0.9589	-0.6193	1.0401	1.2034	
129	0.9469	1.1602	1.3401	1.4028	-0.7576	1.3507	
130	-2.3572	4.1272	0.8182	0.7651	-2.2532	1.1572	
131	-0.1345	-0.8139	3.2186	-1.7858	1.0291	3.6034	
132	-0.4253	-0.2459	-2.3216	-2.3808	1.3684	0.5925	
133	0.4865	0.3864	-0.8849	-0.9248	1.9526	0.1957	
134	-1.8348	-2.1358	0.6427	-2.6170	0.7340	1.3056	
135	-0.0947	1.5249	-1.7338	0.0553	-1.2768	-0.6747	
136	-0.3831	-0.2597	1.2855	0.6294	2.6694	0.7426	
137	0.9121	2.0574	-0.7429	-1.3422	-1.9978	0.9622	
139	1.3694	0.4319	0.3198	0.2044	-0.9387	1.1720	
140	2.2553	0.0295	3.2099	0.0953	1.1976	-2.3218	
142	-0.5964	-1.8116	-0.8126	-0.5806	-0.0607	0.4933	
143	4.0309	-1.8928	5.4267	0.1437	-1.6652	0.9473	
144	-0.3445	1.2446	2.8794	5.2161	-1.2331	1.4180	
145	2.1970	1.6662	1.5356	-2.0741	2.4413	4.3933	
146	1.1590	-0.5918	-0.9200	0.5984	0.0817	-0.4264	
147	1.9688	-0.2052	-1.4334	3.0377	0.5237	2.0093	
148	2.0967	0.3376	-0.9299	-2.4836	-0.5089	0.8657	
150	3.4575	-0.3356	-0.2611	-4.6207	-0.5714	-1.0607	
152	-0.0925	-0.9481	0.3852	0.0988	0.0688	1.6381	
153	1.9275	-0.7228	2.6595	-1.2756	2.1329	-0.0734	
154	3.5759	3.8652	-2.3440	-1.9789	-1.8658	1.9268	
155	-0.7336	2.4511	-3.3497	-3.3871	-1.3672	-1.0938	
156	2.4771	2.8896	-1.5041	-0.0282	4.6007	-0.0426	
157	-0.1053	2.4008	-1.1099	2.3536	1.1883	1.0559	
158	1.6355	0.7778	1.8159	3.2705	6.9155	-2.0705	
162	-2.0816	2.6402	-0.9270	1.5811	0.8128	-1.6098	
163	3.6188	-3.1142	1.9732	0.3877	2.5710	2.3387	
164	1.0735	-0.3660	-0.1597	-0.2184	1.2864	0.3093	
